plotID;sample_date;area;stems;leaves;tubers;biomass_tot
DRCPL13;15.08.2018;9;744;43;989;1776
DRCPL14;16.08.2018;9;86;30;527;643
DRCPL15;15.08.2018;9;62;10;275;347
DRCPL17;15.08.2018;9;91;11;399;501
DRCPL18;16.08.2018;9;315;52;586;952
DRCPL19;11.08.2018;9;777;312;1159;2248
DRCPL20;03.09.2018;9;289;143;517;950
DRCPL21;03.09.2018;9;368;114;590;1072
DRCPL22;03.09.2018;9;292;162;569;1024
DRCPL23;16.08.2018;9;341;148;457;945
DRCPL24;16.08.2018;9;239;56;465;760
DRCPL26;26.08.2018;9;1292;164;968;2425
DRCPL27;26.08.2018;9;409;44;652;1106
DRCPL29;26.08.2018;9;298;62;245;605
DRCPL30;23.08.2018;9;364;221;680;1265
DRCPL31;15.08.2018;9;410;134;504;1047
DRCPL33;15.08.2018;9;354;91;495;940
DRCPL34;15.08.2018;9;262;57;374;693
DRCPL35;20.08.2018;9;208;52;252;512
DRCPL36;20.08.2018;9;190;41;158;389
DRCPL37;20.08.2018;9;182;60;345;587
DRCPL38;23.08.2018;9;198;35;358;591
DRCPL39;23.08.2018;9;513;143;400;1056
DRCPL4;11.08.2018;9;249;26;226;502
DRCPL40;23.08.2018;9;86;30;527;643
DRCPL5;11.08.2018;9;134;0;158;292
DRCPL6;11.08.2018;9;276;69;277;622
RF1;17.08.2018;9;262;106;295;663
RF14;24.09.2018;9;1101;295;1321;2717
RF17;24.09.2018;9;5951;831;8066;14848
RF18;11.10.2018;9;1205;540;1001;2747
RF2;17.08.2018;9;1022;152;594;1768
RF20;22.01.2019;9;2443;686;3910;7040
RF21;22.01.2019;9;1060;154;935;2148
RF24;22.01.2019;9;210;160;314;684
RF25;22.01.2019;9;515;208;997;1720
RF26;28.01.2019;9;274;204;272;750
RF30;28.01.2019;9;199;96;565;860
RF32;05.02.2019;9;1392;549;902;2842
RF34;05.02.2019;9;586;150;694;1430
RF4;27.08.2018;9;341;162;260;763
RF5;14.09.2018;9;383;218;657;1257
RF6;24.09.2018;9;673;208;349;1230
UF1;14.09.2018;9;1621;395;1027;3042
UF10;14.09.2018;9;1349;367;785;2502
UF11;14.09.2018;9;701;241;121;1062
UF12;14.09.2018;9;373;89;154;616
UF13;07.10.2018;9;1595;301;1662;3559
UF14;07.10.2018;9;739;283;1484;2505
UF15;07.10.2018;9;616;85;769;1470
UF16;08.10.2018;9;370;58;208;636
UF17;22.10.2018;9;1558;788;603;2949
UF18;22.10.2018;9;817;212;1251;2279
UF19;22.10.2018;9;1565;259;1205;3030
UF2;14.09.2018;9;2360;334;2128;4821
UF20;03.10.2018;9;795;126;752;1672
UF21;03.10.2018;9;663;432;461;1556
UF22;05.10.2018;9;253;124;229;605
UF3;08.09.2018;9;1204;155;2049;3408
UF4;07.09.2018;9;644;150;627;1422
UF5;08.09.2018;9;1361;405;1604;3370
UF6;08.09.2018;9;1079;380;1730;3188
UF7;08.09.2018;9;1764;315;1716;3796
UF8;07.09.2018;9;1298;474;956;2727
UF9;07.09.2018;9;1893;615;1068;3576
