plotID;min_bio;max_bio;mean_bio;sd_bio;sum_bio;no
KBPL10;1.56600;13.32700;6.03000;5.25000;2170.92400;16
KBPL11;2.59100;8.45600;5.61200;2.49400;2020.34600;20
KBPL12;2.78400;13.15600;8.71200;4.39300;3136.43000;18
KBPL14;1.84000;28.84300;12.50100;13.09600;4500.24600;16
KBPL15;1.83200;16.37600;7.88100;6.61100;2837.08100;16
KBPL6;3.26500;14.96600;6.35200;5.74400;2286.82600;20
NPL1;1.36700;7.05400;4.39900;2.34700;1583.47000;19
NPL10;1.08500;6.84100;3.30400;2.71700;1189.41200;20
NPL11;0.60800;5.32400;3.37400;1.98400;1214.68400;19
NPL12;1.76500;11.61800;6.07300;4.10400;2186.43100;19
NPL2;0.91100;2.75200;2.00400;0.84600;721.46900;20
NPL3;2.51700;9.15000;5.67300;2.72900;2042.31600;17
NPL4;0.50400;10.63200;4.15000;4.53800;1493.85000;19
NPL5;0.38500;3.40300;1.51100;1.32800;543.93900;14
NPL6;1.16300;5.15500;3.26100;2.03900;1174.03800;20
NPL7;1.60600;6.10600;3.81900;1.91600;1374.96100;19
NPL8;2.17000;7.36800;4.74700;2.18000;1708.74700;20
NPL9;1.07100;2.09500;1.53800;0.44900;553.72200;17
UPL1;2.13000;6.25900;3.77500;1.98900;1359.08100;14
UPL10;2.97000;4.78100;3.93900;0.77200;1418.19800;15
UPL11;1.50900;3.23200;2.17700;0.77400;783.56800;15
UPL12;2.53200;7.34500;3.92400;2.29300;1412.80200;15
UPL2;1.58300;3.72400;2.53000;1.03900;910.72300;16
UPL3;1.76300;3.41600;2.43600;0.74100;876.80100;16
UPL4;1.77500;2.53900;2.16400;0.31700;779.18200;15
UPL5;1.09700;2.48400;2.08200;0.66200;749.56700;15
UPL6;0.94700;2.86000;1.96000;0.78800;705.59100;14
UPL7;0.26200;2.44400;1.58600;0.96600;571.13600;15
UPL8;0.62700;3.68600;1.94900;1.29000;701.77400;15
UPL9;1.68300;3.87300;2.78000;0.89600;1000.94000;16
